"Grid","Check","Trap","Species","ID","Fate"
1001,"2A","A5","WFMO","",5
1821,"5A","A1","WFMO","",1
1002,"5A","B3","WFMO","",1
1105,"5P","C6","EACH","",1
1908,"2A","B6","WFMO","",1
1502,"4A","B5","","",8
1121,"2A","B5","EACH","",1
1728,"2A","C3","EACH","166",2
1113,"4A","A6","","",8
1401,"2A","B9","","",8
1121,"1P","C1","","",7
1001,"2P","A6","EACH","",1
1919,"4A","C7","WFMO","",1
1504,"3A","C1","WFMO","321",1
1908,"3A","C9","","",8
1401,"4P","A5","EACH","",1
1502,"4A","B2","EACH","244",2
1113,"5A","A3","WFMO","",5
1624,"3P","C1","","",8
1502,"5A","B5","WFMO","163",2
